file_name,text
095.jpg,"shop window display, luxury display, theatrical lighting, framed display"
096.jpg,"shop window display, luxury display, theatrical lighting, framed display"
097.jpg,"shop window display, luxury display, theatrical lighting, framed display"
098.jpg,"shop window display, luxury display, theatrical lighting, layered composition"
099.jpg,"shop window display, luxury display, theatrical lighting, framed display"
100.jpg,"shop window display, luxury display, theatrical lighting, layered composition"
101.jpg,"shop window display, luxury display, nighttime atmosphere, framed display"
102.jpg,"shop window display, luxury display, nighttime atmosphere, symmetrical layout"
103.jpg,"shop window display, luxury display, nighttime atmosphere, framed display"
104.jpg,"shop window display, luxury display, theatrical lighting, layered composition"
105.jpg,"shop window display, luxury display, theatrical lighting, layered composition"
106.jpg,"shop window display, luxury display, spotlight, layered composition"
107.jpg,"shop window display, luxury display, theatrical lighting, layered composition"
108.jpg,"shop window display, surreal installation, soft glow, framed display"
109.jpg,"shop window display, luxury display, theatrical lighting, framed display"
110.jpg,"shop window display, luxury display, spotlight, layered composition"
111.jpg,"shop window display, luxury display, spotlight, central object"
112.jpg,"shop window display, luxury display, nighttime atmosphere, central object"
113.jpg,"shop window display, dreamlike scene, spotlight, framed display"
114.jpg,"shop window display, dreamlike scene, nighttime atmosphere, framed display"
115.jpg,"shop window display, dreamlike scene, soft glow, symmetrical layout"
116.jpg,"shop window display, dreamlike scene, nighttime atmosphere, central object"
117.jpg,"shop window display, dreamlike scene, nighttime atmosphere, framed display"
118.jpg,"shop window display, luxury display, theatrical lighting, central object"
119.jpg,"shop window display, dreamlike scene, theatrical lighting, framed display"
120.jpg,"shop window display, dreamlike scene, theatrical lighting, framed display"
121.jpg,"shop window display, luxury display, theatrical lighting, framed display"
122.jpg,"shop window display, luxury display, spotlight, central object"
123.jpg,"shop window display, surreal installation, nighttime atmosphere, framed display"
124.jpg,"shop window display, surreal installation, soft glow, framed display"
125.jpg,"shop window display, surreal installation, theatrical lighting, framed display"
126.jpg,"shop window display, dreamlike scene, soft glow, framed display"
127.jpg,"shop window display, luxury display, theatrical lighting, framed display"
128.jpg,"shop window display, luxury display, soft glow, framed display"
129.jpg,"shop window display, luxury display, soft glow, central object"
130.jpg,"shop window display, surreal installation, soft glow, framed display"
131.jpg,"shop window display, surreal installation, theatrical lighting, framed display"
132.jpg,"shop window display, luxury display, spotlight, central object"
133.jpg,"shop window display, sculptural arrangement, soft glow, framed display"
134.jpg,"shop window display, surreal installation, soft glow, framed display"
135.jpg,"shop window display, luxury display, nighttime atmosphere, framed display"
136.jpg,"shop window display, luxury display, theatrical lighting, layered composition"
137.jpg,"shop window display, luxury display, soft glow, framed display"
138.jpg,"shop window display, luxury display, theatrical lighting, framed display"
139.jpg,"shop window display, luxury display, theatrical lighting, framed display"
140.jpg,"shop window display, luxury display, theatrical lighting, framed display"
141.jpg,"shop window display, luxury display, soft glow, framed display"
142.jpg,"shop window display, luxury display, soft glow, central object"
143.jpg,"shop window display, surreal installation, theatrical lighting, layered composition"
144.jpg,"shop window display, luxury display, soft glow, framed display"
145.jpg,"shop window display, surreal installation, soft glow, framed display"
146.jpg,"shop window display, luxury display, soft glow, framed display"
147.jpg,"shop window display, luxury display, soft glow, central object"
148.jpg,"shop window display, dreamlike scene, theatrical lighting, framed display"
